product,title,date,country,stars,helpful,review,language,title_sentiment,title_wc,review_sentiment,review_wc
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Kurze Lieferzeit,2020-03-12,Germany,5,0,Die Playsi ist voll ok  tut alles was sie soll habe sie meinem Enkel geschenkt. Er ist 19 und an die plasyi darf keiner u gefragt dran  er ist voll zufrieden.,deu,0,2,-0.19364916731037085,30
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,mauvais service après vente et mauvais produit la playsation 4,2021-04-21,France,1,0,"je souhaite faire part de mon mécontentement car la play station est tombe en panne suite à un dysfonctionnement du ventilateur ;amazon m a demandé  de la retourner pour me la remboursé mais l argent a été mis sur le compte de la c;b qui a servi a payé la playsation alors que j ai précisé que cette carte n'existait plus car elle a été piraté;bref depuis le dernier mail envoyé ave une lettre de ma banque preuve à l""appui je n'ai ni eu de réponse à mon mail ni eu mes 400e",fra,0,9,0,96
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Livraison déplorable,2020-09-02,France,2,2,"Colis reçu sans demande de signature alors que c'était prévu. Le carton amazon ouvert, le carton ps4 ouvert.  Au vu de l'emballage on pourrait croire que le colis a été écraser. L'appareil semble fonctionner, mais j'émets des réserves compte tenue que je découvre l'environnement ps4. Bref un peu de soin chez les transporteurs serait bien venu",fra,0,2,0,56
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Heim & Büro - Einkauf: Nie wieder!,2020-10-22,Germany,1,2,Nie wieder bei dem Händler.Wegen eines defekten Joypads soll ich jetzt die komplett installierte PS4Pro einsenden und würde eine neue bekommen.Was läuft hier nur verkehrt????,deu,0,5,0.0287701824970572,28
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Go Pro or go out(side),2019-08-23,Germany,5,0,4k never looked so good! Runs everything smoothly. Sometimes you cannot get to read the infos on the loading screen in some games because the processor is that fast. Get the latest model (CUH-7200) that is more silent and you will be very pleased with the purchase. PS4 Pro the best way to go.,eng,0.4082482904638631,6,0.34779472124414074,54
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,aussen top - innen flop,2019-03-20,Germany,2,3,Äusserlich sieht das Headset qualitativ hochwertig aus vorallem für den Preis. Allerdings missfallen die Sound qualität des Mikrofons in Ps4 party's sowie der Gaming sound über die Kopfhörer. Schade...,deu,0.5,4,-0.1776256413313349,29
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Top Playstation,2020-02-12,Germany,5,0,"PS4 Pro, mehr muss man nicht sagen.Auch wenn viele sagen das die Pro wie ein Jet brummt, meine ist leise und nicht zu hören.",deu,0.7071067811865475,2,0.21844501905405309,25
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Alles top,2019-12-29,Germany,5,0,"Was soll ich sagenDas ist meine zweite PlayStation 4Nun die PROich bin, wie seit Jahren, zufrieden",deu,0.7071067811865475,2,-0.1875,16
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,Sehr Gut,2021-09-13,Germany,5,0,Zuverlässige Lieferung. Ware in einwandfreiem Zustand. Vielen Dank,deu,0,2,-0.13809687598587453,8
CONSOLE PS4 1To PRO G BLACK - PS4 nvlle ref,PS4 Pro: ottima!!!!,2019-02-24,Italy,5,0,"Sony PlayStation 4 Pro 1TB Nera: perfetta, tutto bene!",ita,0.5773502691896258,3,0.35355339059327373,8
